2016-07-21 09:18:42,474 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-07-21 09:18:42,527 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@49a90191{/help,null,AVAILABLE}
2016-07-21 09:18:42,547 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@7a7c224d{HTTP/1.1,[http/1.1]}{127.0.0.1:49601}
2016-07-21 09:18:42,548 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @297024ms
2016-07-22 09:41:13,834 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @527387ms
2016-07-22 09:41:14,003 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-07-22 09:41:14,052 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@20ec3d43{/help,null,AVAILABLE}
2016-07-22 09:41:14,061 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@6f3ffb3f{HTTP/1.1,[http/1.1]}{127.0.0.1:49386}
2016-07-22 09:41:14,062 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @527618ms
2016-07-22 20:48:35,935 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@6f3ffb3f{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-07-22 20:48:36,013 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@20ec3d43{/help,null,UNAVAILABLE}
2016-07-25 09:44:45,043 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @2236859ms
2016-07-25 09:44:45,473 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-07-25 09:44:45,558 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@3aaf07f9{/help,null,AVAILABLE}
2016-07-25 09:44:45,591 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@678bae93{HTTP/1.1,[http/1.1]}{127.0.0.1:49513}
2016-07-25 09:44:45,591 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @2237410ms
2016-07-25 20:55:44,166 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@678bae93{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-07-25 20:55:44,280 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@3aaf07f9{/help,null,UNAVAILABLE}
2016-07-26 09:04:24,835 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is not available. Remote download required.
2016-07-26 09:25:11,773 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @605913ms
2016-07-26 09:25:11,927 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-07-26 09:25:11,974 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1fe1e057{/help,null,AVAILABLE}
2016-07-26 09:25:11,983 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@6d5d3c03{HTTP/1.1,[http/1.1]}{127.0.0.1:49476}
2016-07-26 09:25:11,983 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @606124ms
2016-07-26 20:53:55,055 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@6d5d3c03{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-07-26 20:53:55,124 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1fe1e057{/help,null,UNAVAILABLE}
2016-07-27 09:18:15,855 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-07-27 09:24:03,964 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @389524ms
2016-07-27 09:24:04,128 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-07-27 09:24:04,213 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@154cde63{/help,null,AVAILABLE}
2016-07-27 09:24:04,226 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@4fc450d7{HTTP/1.1,[http/1.1]}{127.0.0.1:49426}
2016-07-27 09:24:04,226 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @389787ms
2016-07-27 17:30:35,699 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-07-27 17:39:49,159 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @689541ms
2016-07-27 17:39:49,318 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-07-27 17:39:49,412 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@5cba8f41{/help,null,AVAILABLE}
2016-07-27 17:39:49,428 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@36f6ccdf{HTTP/1.1,[http/1.1]}{127.0.0.1:49264}
2016-07-27 17:39:49,428 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @689813ms
2016-07-27 21:00:46,218 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@36f6ccdf{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-07-27 21:00:46,281 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@5cba8f41{/help,null,UNAVAILABLE}
2016-07-28 09:11:48,231 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-07-28 09:21:21,948 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @620722ms
2016-07-28 09:21:22,105 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-07-28 09:21:22,153 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@6213b7b9{/help,null,AVAILABLE}
2016-07-28 09:21:22,161 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@2932d508{HTTP/1.1,[http/1.1]}{127.0.0.1:49378}
2016-07-28 09:21:22,161 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @620935ms
2016-07-28 20:54:53,907 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@2932d508{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-07-28 20:54:54,008 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@6213b7b9{/help,null,UNAVAILABLE}
2016-07-29 09:14:44,617 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-07-29 09:28:11,915 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @858408ms
2016-07-29 09:28:12,127 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-07-29 09:28:12,178 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@2457afe4{/help,null,AVAILABLE}
2016-07-29 09:28:12,187 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@606dd8f4{HTTP/1.1,[http/1.1]}{127.0.0.1:49554}
2016-07-29 09:28:12,187 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @858681ms
2016-07-29 19:38:28,383 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@606dd8f4{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-07-29 19:38:28,467 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@2457afe4{/help,null,UNAVAILABLE}
2016-08-01 09:09:14,019 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-08-01 11:05:42,688 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @5524519ms
2016-08-01 11:05:42,996 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-08-01 11:05:43,068 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@6bc7b6d9{/help,null,AVAILABLE}
2016-08-01 11:05:43,079 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@63e9758f{HTTP/1.1,[http/1.1]}{127.0.0.1:49858}
2016-08-01 11:05:43,087 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @5524917ms
2016-08-02 09:52:45,058 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@63e9758f{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-08-02 09:52:45,152 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@6bc7b6d9{/help,null,UNAVAILABLE}
2016-08-02 09:57:55,616 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-08-02 10:39:29,626 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @2582099ms
2016-08-02 10:39:29,776 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-08-02 10:39:29,819 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@10dd7654{/help,null,AVAILABLE}
2016-08-02 10:39:29,838 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@387c430d{HTTP/1.1,[http/1.1]}{127.0.0.1:49674}
2016-08-02 10:39:29,839 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @2582313ms
2016-08-02 20:53:33,993 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@387c430d{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-08-02 20:53:34,008 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@10dd7654{/help,null,UNAVAILABLE}
2016-08-03 08:51:39,148 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2016-08-03 10:21:54,629 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @4821663ms
2016-08-03 10:21:54,805 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-08-03 10:21:54,853 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@447102a7{/help,null,AVAILABLE}
2016-08-03 10:21:54,866 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@1ee2d1fa{HTTP/1.1,[http/1.1]}{127.0.0.1:49619}
2016-08-03 10:21:54,866 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @4821901ms
2016-08-03 19:47:45,753 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@1ee2d1fa{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2016-08-03 19:47:45,931 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@447102a7{/help,null,UNAVAILABLE}
2016-08-04 08:48:33,035 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2016-08-04 08:56:01,318 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @502137ms
2016-08-04 08:56:01,522 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.3.9.v20160517
2016-08-04 08:56:01,601 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@796053a2{/help,null,AVAILABLE}
2016-08-04 08:56:01,639 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@7accbd3b{HTTP/1.1,[http/1.1]}{127.0.0.1:49234}
